id.int64()	user_id.int64()	product_id.int64()	subtotal.double()	tax.double()	total.double()	discount.double()	created_at.date(2006-03-02 15:04:05.99999999)	quantity.int32()
32	7	82	60.89545738030947	4.26	65.15833624900348		2018-06-04 05:11:15.294	7
33	7	172	122.3651993029456	8.57	130.97012158989244	6.481030997355338	2019-06-18 11:17:03.676	4
34	7	3	53.08311732230858	3.72	56.80533257859876		2019-01-04 21:12:38.428	1
35	7	21	40.38334406304544	2.83	43.27836200894579		2017-10-10 01:37:18.769	5
36	7	145	61.1983004605443	4.28	65.52684708658961		2018-07-04 00:34:31.322	4
37	7	17	53.290720311951766	3.73	57.008904417553445		2017-08-30 12:40:52.641	4
38	7	39	114.58158180283459	8.02	122.43499029028857		2018-07-25 23:27:34.53	5
39	7	142	70.34853057210945	4.92	75.38095754001415		2018-05-09 03:09:25.897	4
40	7	101	139.82488066180403	9.79	149.7360813013385		2019-11-21 23:35:02.479	2
41	7	51	75.65058751905018	5.3	81.10438260941211		2018-12-04 00:08:37.569	2
42	7	145	61.1983004605443	4.28	65.5559297559252		2019-11-16 08:11:08.666	3
43	8	193	50.38077396807232	3.27	53.70507001111754		2019-11-03 20:24:38.219	3
44	8	101	93.21658710786936	6.06	99.33443001127412		2017-10-01 14:47:29.444	6
45	8	141	84.13541698384589	5.47	89.70210897202662		2017-09-25 00:11:10.923	5
46	8	8	98.83823503993958	6.42	105.27220156289907		2018-06-14 03:09:15.751	4
47	8	104	106.44215255778118	6.92	113.50392637210302		2018-07-06 00:35:40.063	4
48	8	140	66.80312547576881	4.34	71.2513752413769		2019-05-16 20:17:06.72	5
49	8	157	139.8942352373801	9.09	149.0971082279313		2019-11-17 09:19:09.682	3
50	8	12	116.01427581618326	7.54	123.55572117178238		2018-01-01 07:26:31.444	2
51	8	114	51.94130981241432	3.38	55.25485080738503		2017-12-06 03:46:28.378	2
52	9	34	74.30391386913199	4.46	78.65666201120496		2018-07-15 23:04:22.325	3
53	9	79	41.616917284159726	2.5	44.22580561704055		2018-09-15 13:06:14.139	3
54	10	68	115.24343882309758	6.63	122.11637851493803	7.63762060148704	2018-10-26 20:41:23.428	4
55	10	149	46.10276691718616	2.65	48.65911128333891		2017-08-16 09:51:35.096	5
56	10	109	79.36660712128732	4.56	84.05108407223999		2016-12-02 08:04:45.937	1
57	10	42	38.00410713690931	2.19	40.306509135573634		2020-02-05 03:28:52.924	1
58	10	91	65.09432810381134	3.74	68.88290318792109		2019-03-09 01:05:15.721	1
59	10	71	82.80381898788684	4.76	87.53637991989693		2019-04-11 18:53:36.645	1
60	10	92	124.89242686579996	7.18	132.22951658373907		2018-07-10 03:17:28.857	2
61	10	11	132.45679913492563	7.62	140.56266342560167		2019-09-23 11:07:08.376	3
62	10	198	70.14610686710009	4.03	74.17998651599399		2018-10-13 19:02:04.952	6
63	10	58	78.14578007078882	4.49	82.56808781434164		2018-04-14 19:47:06.649	3
64	10	65	68.22769726470014	3.92	72.26375031242301		2019-02-23 16:13:35.97	2
65	10	53	44.27587240151534	2.55	46.731824088077374		2018-09-14 23:33:17.679	5
66	10	15	37.648145389078365	2.16	39.76477470674226	3.4447251023245924	2018-03-30 20:03:22.716	1
67	10	152	48.89568729900663	2.81	51.718782977279055	7.80684729448388	2018-05-30 05:01:21.334	5
68	12	25	68.62263967182464	2.74	71.36659567437728		2019-05-28 14:47:23.973	5
69	12	183	56.697412301919755	2.27	59.09276090183358		2019-06-28 14:19:18.995	8
70	12	22	32.136779940663494	1.29	33.41808399293863		2019-11-21 11:21:36.739	3
71	12	161	31.727470408648482	1.27	32.940865882868835		2017-09-01 11:51:46.788	4
72	12	13	75.0861692740371	3	78.35146470419957		2017-07-18 10:51:55.733	5
73	12	122	99.84528328808108	3.99	103.7765084914419		2019-08-18 02:49:20.543	7
74	12	154	81.87529553312261	3.28	85.41374069109672	1.8457579767720553	2020-02-20 00:36:30.807	1
75	12	13	75.0861692740371	3	77.95866140384386		2017-04-10 23:33:10.082	2
76	15	185	26.384667225677738	1.72	28.098902628941254		2016-12-19 19:40:17.782	2
77	15	86	92.31436670850246	6	98.58295820350527		2019-09-27 21:32:36.824	4
78	15	165	38.30449564120193	2.49	40.85973188769328		2018-05-02 15:42:21.755	5
79	15	49	131.42865839323724	8.54	140.31169305624633		2018-04-25 15:55:31.477	4
80	15	85	54.90104734428525	3.57	58.507615969325414		2019-04-15 14:49:30.838	4
81	15	157	139.8942352373801	9.09	148.4688281207464	6.012432951799443	2019-10-29 03:41:26.912	4
82	16	78	41.616917284159726	1.66	43.29608695072889		2018-01-03 09:10:59.771	2
83	16	169	59.53172693453274	2.38	61.88628596625975	6.012432951799443	2018-04-28 18:48:34.862	3
84	16	183	56.697412301919755	2.27	59.12624080633313		2019-12-26 14:29:19.631	2
85	16	104	106.44215255778118	4.26	110.42056194431119		2019-06-05 08:15:20.979	6
86	16	147	44.4315141414441	1.78	46.09258624782886		2016-06-08 10:56:25.212	6
87	16	17	79.93608046792765	3.2	83.30672226118827		2019-05-06 01:41:27.086	3
88	16	14	37.648145389078365	1.51	39.350134975792805		2019-08-10 01:39:40.313	7
89	16	90	82.07974183693327	3.28	85.6527010493753		2016-08-28 16:44:40.361	7
90	16	87	78.17024226998694	3.13	81.0712956941512		2016-12-29 08:29:20.559	1
91	17	185	39.57700083851661	0	39.57663199309648		2019-02-18 12:57:11.124	2
92	17	147	44.4315141414441	0	44.59371986162783		2017-03-26 08:45:35.004	1
93	17	15	25.09876359271891	0	25.175194945524527		2017-06-18 11:15:50.035	4
94	17	172	122.3651993029456	0	122.77616996249728		2019-08-01 00:15:06.426	4
95	17	76	42.54947374244324	0	42.64281892675646		2017-09-12 15:12:48.01	4
96	17	140	66.80312547576881	0	66.78839100928437		2018-09-26 23:27:09.597	4
97	17	110	55.526746186906664	0	55.2889980153447		2019-07-01 01:51:26.871	4
98	17	26	68.12471180754113	0	68.04214316881821		2020-04-06 00:45:35.91	3
99	17	199	115.4300138092855	0	115.80761043142893		2019-12-23 09:54:13.302	1
100	17	84	54.58418555091025	0	54.68641704834421		2017-03-28 22:58:05.087	0
101	17	30	64.17448218067184	0	64.06344204019086	5.053907611508057	2018-09-14 06:42:41.636	3
102	17	95	33.212427711035886	0	33.36784130612156		2017-12-02 04:32:23.123	2
103	17	172	122.3651993029456	0	122.90101714208843		2019-09-15 18:30:40.798	5
104	17	23	116.86672609493307	0	116.32429000786146		2020-02-15 18:57:49.869	2
105	17	118	57.627613096978735	0	57.78477375565548		2018-03-01 00:41:52.08	1
106	17	158	139.8942352373801	0	139.71812294848579		2019-06-16 07:59:05.594	4
107	17	12	77.34285054412217	0	77.38152575523857		2017-05-07 23:40:43.989	3
108	17	127	89.65344209669612	0	89.6374365529822		2017-12-01 06:15:20.772	18
109	17	172	122.3651993029456	0	122.8135687308762		2019-09-14 06:23:32.909	3
110	17	102	31.361435038520785	0	31.46730344461449		2017-05-12 22:58:40.931	4
111	17	56	36.37128575934436	0	36.33762057107673		2020-04-19 08:27:25.536	3
112	17	115	77.91196471862148	0	77.94164494454556		2018-06-12 04:48:40.715	7
113	17	182	84.48940370476112	0	85.01756541579698		2019-09-01 22:01:35.536	5
114	17	108	50.094887884945365	0	49.84654793006807		2019-12-08 16:20:25.477	2
115	18	191	85.72279013719552	0	86.029271263595		2017-08-30 06:13:52.097	6
116	18	67	41.24480890795779	0	41.26025370973873		2019-01-01 18:48:23.343	2
117	18	49	131.42865839323724	0	131.71312308331136		2018-02-26 02:43:13.292	2
118	18	37	80.10774204020768	0	79.97412473090259		2018-12-18 04:49:24.384	29
119	18	198	70.14610686710009	0	70.33549902283389		2020-03-26 23:06:05.388	1
120	18	84	54.58418555091025	0	54.84317401983205		2017-03-29 21:28:18.971	1
121	18	144	61.1983004605443	0	61.23111785253473	5.66093399511347	2018-02-03 05:48:55.511	1
122	18	41	63.50890855689462	0	63.42563475771362		2018-12-31 20:08:35.474	2
123	18	131	75.41148135558485	0	75.870478390174		2017-11-19 17:22:48.891	3
124	18	26	45.41647453836076	0	45.51555049851821		2017-06-13 12:29:10.438	5
125	19	129	148.1672972165937	0	148.89768659847257		2018-07-18 01:04:09.876	4
126	19	149	69.15415037577924	0	69.17358014668844	0.5557909425521395	2019-07-25 00:26:35.948	4
127	20	25	68.62263967182464	4.12	72.71605101852825		2019-08-27 01:20:16.006	4
128	20	134	42.49233549998661	2.55	45.08432379873971		2018-05-29 01:45:46.631	3
129	20	12	116.01427581618326	6.96	123.86979026859099		2019-04-26 22:49:56.26	3
130	20	100	45.22324323588729	2.71	47.989773650385786	5.0557909425521395	2017-05-13 15:57:14.22	3
131	20	39	114.58158180283459	6.87	121.26234489476354		2020-02-05 22:42:57.243	6
132	20	161	47.59120561297272	2.86	50.28512073024441		2018-07-22 03:39:51.084	2
133	20	36	87.29125153827623	5.24	92.8692701673067	5.868463780972647	2016-10-25 11:08:11.678	4
134	20	87	117.25536340498041	7.04	125.22207335031936		2020-02-28 13:48:53.779	1
135	21	120	83.5020135028928	4.59	88.08386047261446		2018-01-04 14:19:57.077	1
136	21	116	114.42485125407785	6.29	120.44455096555112		2018-11-21 22:12:37.307	2
137	21	126	83.49598746872304	4.59	87.57952437287346		2017-02-25 07:42:53.951	1
138	21	62	133.5202262591817	7.34	141.63630860796985		2018-03-26 01:51:23.046	1
139	21	128	50.053442096696116	2.75	52.81563183637319		2017-07-31 20:42:22.614	3
140	21	4	73.99178100854834	4.07	78.49429704512552		2017-08-25 10:54:07.427	6
141	22	132	127.88197029833711	9.59	137.50885067010267		2019-06-21 15:05:41.233	5
142	22	57	122.4223933583994	9.18	132.44824277916473		2018-01-30 19:26:07.656	2
143	22	24	112.30643674729413	8.42	121.495629849217	2.0958774529271	2018-04-05 20:31:27.13	2
144	22	15	25.09876359271891	1.88	26.921904425921767		2016-12-11 16:41:35.4	1
145	22	120	55.668009001928525	4.18	59.53162406298413		2017-03-18 07:40:09.855	1
146	22	189	62.18492169821006	4.66	67.40107423105457		2017-09-29 19:13:15.649	6
147	22	71	82.80381898788684	6.21	88.85823576563041		2019-05-24 15:36:17.532	4
148	22	106	52.723521442619514	3.95	56.56723390171032		2019-01-26 14:21:47.436	1
149	22	199	115.4300138092855	8.66	123.87449640736953		2020-01-25 19:05:08.521	2
150	22	104	106.44215255778118	7.98	113.66340575590407		2018-11-06 14:12:49.73	3
151	22	78	41.616917284159726	3.12	44.796447257683404		2019-12-19 07:14:30.039	1
152	22	61	23.537915510955656	1.77	25.353261234525547		2018-04-28 23:03:07.994	3
153	23	29	123.57448218067185	4.94	129.07046850966185		2018-11-28 15:57:37.123	3
154	23	83	81.87627832636537	3.28	85.67661597139924		2019-12-25 10:11:36.131	1
155	23	21	60.57501609456816	2.42	62.58068633333344		2018-04-06 09:28:38.984	2
156	23	189	93.27738254731509	3.73	97.28000055788928		2020-03-12 01:55:46.721	1
157	23	104	106.44215255778118	4.26	109.93227892309707		2019-01-14 18:54:49.071	2
158	23	78	41.616917284159726	1.66	43.58402975808376		2019-08-18 01:58:34.25	9
159	23	114	77.91196471862148	3.12	80.90200983182172		2018-01-31 23:55:52.385	3
160	23	165	38.30449564120193	1.53	39.94387887200756		2018-03-01 23:52:38.76	1
161	24	29	123.57448218067185	8.5	133.29078207339072	3.19027473484536	2020-04-04 04:31:57.111	2
162	24	126	125.24398120308456	8.61	134.6490531487738	3.19027473484536	2019-05-26 14:41:31.227	3
163	24	75	125.81276373452337	8.65	134.34188820505327		2018-04-07 02:25:01.256	3
164	24	33	47.7448636959614	3.28	50.63300951042867		2018-10-22 09:59:09.117	7
165	24	10	47.6793282102869	3.28	51.41555604695189		2019-08-14 12:35:14.039	7
166	24	151	91.61302306843446	6.3	98.39755642399079		2019-07-19 13:10:13.348	5
167	24	200	73.20395711799151	5.03	77.69844392510406		2019-11-15 18:06:11.298	3
168	24	186	98.9770008385166	6.8	105.1034615708705		2018-04-14 22:05:46.715	2
169	24	73	71.6287722595695	4.92	76.85256110059626		2019-08-13 20:36:50.982	5
170	24	118	57.627613096978735	3.96	61.29099379132071		2019-08-03 08:33:03.555	7
171	29	58	78.14578007078882	4.49	81.99797205522884	3.079716237586482	2020-04-01 17:48:42.785	3
172	29	152	48.89568729900663	2.81	52.158190996637586		2020-02-17 12:53:40.048	2
173	29	91	65.09432810381134	3.74	68.5948263899836		2018-10-22 18:56:58.539	7
174	29	190	128.5841852057933	7.39	135.51580933716718	3.079716237586482	2020-04-09 12:03:00.755	3
175	29	58	78.14578007078882	4.49	82.9662304600896		2019-01-30 10:19:21.084	2
176	29	154	81.87529553312261	4.71	86.718532076223		2018-10-16 01:03:54.433	7
177	30	154	81.87529553312261	5.32	86.5798486529755		2019-06-13 04:34:32.336	6
178	30	37	80.10774204020768	5.21	85.39244099092026		2019-05-27 05:53:31.905	5
179	32	75	125.81276373452337	3.65	129.96150940926339		2019-07-21 15:27:05.546	6
180	32	75	125.81276373452337	3.65	129.96663928588885		2019-02-25 04:03:09.148	2
181	32	93	33.212427711035886	0.96	34.322624506829975		2017-07-05 11:32:31.092	6
182	32	176	57.92480943352658	1.68	60.06327235376401		2020-03-25 23:01:34.064	1
183	32	87	117.25536340498041	3.4	120.57531991069719		2018-08-25 14:09:48.528	8
184	32	84	81.87627832636537	2.37	84.2394955306831		2018-03-29 01:29:18.948	1
185	33	103	47.04215255778118	1.36	48.04977163455966		2018-06-08 20:22:55.203	8
186	33	108	50.094887884945365	1.45	51.16706768559577		2018-12-23 21:15:46.547	2
187	34	17	79.93608046792765	3.44	83.09689170681719		2019-07-18 00:58:53.862	5
188	34	86	92.31436670850246	3.97	95.4479999998783	3.5425360139832858	2019-04-26 00:15:50.792	4
189	34	74	51.12804227386549	2.2	53.73193441376232		2019-10-16 15:52:56.344	7
190	34	54	62.09360840402396	2.67	65.37474658371603		2019-12-16 16:03:36.571	2
191	34	22	32.136779940663494	1.38	33.37831762352474		2019-11-22 02:47:01.23	2
192	34	170	105.07665741496471	4.52	110.33294721486786		2019-04-02 02:37:15.382	3
193	34	166	38.30449564120193	1.65	40.21323452498948	4.259459768405729	2019-04-06 18:49:46.481	3
194	34	89	63.719612755399886	2.74	65.94529980700449	8.759459768405728	2018-01-28 20:48:50.015	2
195	34	45	78.6996782532274	3.38	82.00781334438744		2016-06-12 00:42:35.099	9
196	35	79	27.74461152277315	1.39	29.11857821823097		2017-11-05 11:07:50.232	3
197	35	108	50.094887884945365	2.5	52.528350998234735		2019-09-30 12:06:29.945	4
198	35	143	61.1983004605443	3.06	64.57375665730676		2019-08-24 01:13:01.005	6
199	35	186	98.9770008385166	4.95	104.8801962931428		2019-05-08 08:36:37.424	4
200	35	75	125.81276373452337	6.29	131.16132464027126		2018-06-30 04:17:27.188	5
201	36	72	142.20381898788685	9.24	151.4334905091422		2018-03-30 20:23:19.326	1
202	36	60	29.80214751859149	1.94	31.590051720123533		2018-01-25 16:05:23.868	2
203	36	171	70.05110494330981	4.55	74.93400185111025		2017-08-17 18:17:48.717	6
204	36	151	91.61302306843446	5.95	98.01542727924048		2019-05-03 02:44:34.94	4
205	36	141	126.20312547576883	8.2	133.75633129735897		2018-12-23 06:21:19.583	2
206	36	25	68.62263967182464	4.46	73.4639328580924		2018-06-22 06:02:43.7	7
207	36	106	52.723521442619514	3.43	55.76205838948854		2019-03-07 09:51:21.283	1
208	36	138	113.95078476718615	7.41	120.78356978131559		2018-08-29 06:33:29.708	6
209	36	189	93.27738254731509	6.06	98.64606378422513		2019-01-05 00:03:51.181	2
210	37	46	78.6996782532274	4.41	82.61238293826868		2017-05-13 15:57:41.168	6
211	37	178	117.32963250370614	6.57	123.73855884170023		2019-11-09 01:30:22.135	4
212	37	111	37.01783079127111	2.07	38.88214510228093		2017-10-22 01:27:38.969	6
213	37	150	85.70276691718615	4.8	90.71701403293285		2017-07-31 17:23:30.923	4
214	37	86	92.31436670850246	5.17	96.6770896432659		2020-02-10 20:43:35.065	1
215	37	186	65.98466722567774	3.7	69.0072709003007		2017-03-17 07:57:12.81	1
216	37	86	61.54291113900164	3.45	65.75869018662576		2017-10-12 03:02:41.08	5
217	37	99	45.22324323588729	2.53	48.09130720558922		2017-04-08 07:32:20.298	2
218	37	134	42.49233549998661	2.38	44.65721384591343		2019-03-20 14:58:21.465	1
219	37	199	76.95334253952366	4.31	80.71687346184818		2017-05-15 14:46:08.296	2
220	37	97	112.41825444654248	6.3	117.80649653012271		2018-08-26 02:21:12.08	6
221	37	129	148.1672972165937	8.3	156.81750637923406		2020-02-18 08:30:53.428	1
222	37	99	67.83486485383094	3.8	72.00908766865949	2.474830569494801	2019-03-19 18:21:54.714	1
223	37	128	75.08016314504417	4.2	80.00827007082361		2018-03-06 11:47:28.486	1
224	37	116	76.28323416938524	4.27	80.41334529043603		2017-08-16 14:56:15.036	8
225	38	84	81.87627832636537	4.91	87.10488933291823	3.198500801146498	2018-11-11 21:14:13.9	3
226	38	47	84.0766209826718	5.04	89.80316077766213		2019-12-15 04:22:52.471	2
227	38	66	136.16126271106958	8.17	143.05367755102802		2018-06-16 19:38:44.027	6
228	38	182	56.326269136507406	3.38	59.983568649853815		2017-04-17 15:21:09.465	3
229	38	152	32.59712486600442	1.96	34.25933496760253		2017-12-26 07:29:57.856	2
230	39	4	110.98767151282252	7.63	117.35136642720215		2020-01-29 03:39:20.564	2
231	39	167	97.70449564120193	6.72	103.76154078086081		2019-03-22 01:41:44.859	1
232	39	74	51.12804227386549	3.52	55.08714479689481	7.854199191704607	2018-11-12 23:45:17.492	2
233	39	182	84.48940370476112	5.81	91.18937892098741		2018-08-02 06:00:12.491	5
234	39	34	74.30391386913199	5.11	79.84418997080454		2018-11-13 21:41:19.636	2
235	39	3	53.08311732230858	3.65	56.82294671218286		2020-01-03 04:15:50.232	1
236	39	79	41.616917284159726	2.86	44.21666444135479		2019-06-15 05:15:43.062	6
237	39	52	69.1172482676769	4.75	74.1413719202313		2017-11-19 22:58:11.972	3
238	40	9	58.31312098526137	3.64	61.576142478371345		2017-12-22 03:09:50.175	2
239	40	138	113.95078476718615	7.12	121.76651145598889		2019-11-25 10:24:01.591	4
240	40	62	133.5202262591817	8.35	140.47423188453183		2018-01-24 03:27:21.346	2
241	40	175	78.21653962235106	4.89	82.44222162267629		2017-10-05 03:52:29.098	7
242	40	49	87.61910559549149	5.48	93.54233401706847		2017-05-03 05:44:12.07	4
243	40	117	55.024851254077866	3.44	58.677958848477346		2019-10-16 10:09:52.916	4
244	40	152	48.89568729900663	3.06	51.972394063179316		2018-08-30 06:58:11.546	7
245	40	130	75.02573869315137	4.69	80.68323868731879		2019-10-21 16:56:04.968	7
246	40	75	83.87517582301558	5.24	88.37700246121238	3.43488602803831	2017-12-13 19:28:29.469	3
247	40	88	105.41292031622555	6.59	112.96680124862405		2019-08-04 14:14:32.044	9
248	40	18	81.90307121097293	5.12	86.86495407738926		2018-11-09 05:47:19.047	4
249	40	107	50.094887884945365	3.13	53.36408197849717		2019-10-03 20:34:21.626	7
250	40	37	80.10774204020768	5.01	84.44293367877523		2018-05-17 18:16:42.364	4
251	40	121	40.44528328808107	2.53	43.04409420603459		2018-07-25 06:15:19.179	4
252	40	21	40.38334406304544	2.52	42.65846557076474		2016-11-01 15:43:42.662	3
253	40	197	70.14610686710009	4.38	75.56411182861285		2018-01-23 08:10:09.2	2
254	40	129	148.1672972165937	9.26	156.33688390064484		2019-08-16 11:44:56.79	5
255	40	47	56.05108065511453	3.5	58.87194528695535		2017-08-11 23:50:54.901	6
256	40	77	67.34461152277315	4.21	70.97051199345664		2017-08-01 10:50:43.603	6
257	40	80	54.91325681036414	3.43	58.3499049054743		2018-02-06 08:34:07.323	2
258	40	191	85.72279013719552	5.36	90.852023318126		2017-09-08 17:20:55.08	3
259	40	73	71.6287722595695	4.48	76.46184284695953		2018-11-10 20:53:54.978	1
260	40	55	63.84752383956291	3.99	66.99944870645123		2017-09-09 16:40:11.602	2
261	40	115	77.91196471862148	4.87	83.03740654322647	1.3602062457243602	2019-08-26 21:10:14.407	3
262	40	62	133.5202262591817	8.35	143.85207136444828		2019-03-06 01:08:17.786	1
263	41	138	113.95078476718615	6.84	121.41976834932669		2019-02-06 22:19:11.813	1
264	42	164	61.978598800110106	2.48	65.25759107253978		2017-01-03 09:08:02.069	1
265	42	146	84.03151414144409	3.36	86.45277238659057		2017-08-18 03:33:03.727	7
266	42	22	32.136779940663494	1.29	33.278920529573234		2019-07-17 17:51:09.59	5
267	42	17	79.93608046792765	3.2	83.70749106553187		2018-10-28 12:46:48.679	4
268	42	90	123.1196127553999	4.92	126.43264025722983		2019-06-04 02:52:04.261	3
269	42	159	35.53017445377361	1.42	36.909818559607324		2019-04-11 19:13:31.013	2
270	42	119	43.43814329652384	1.74	44.793611860992996		2019-02-26 20:42:08.386	1
271	42	30	64.17448218067184	2.57	65.97681854234172		2019-12-15 20:10:26.427	2
272	42	129	148.1672972165937	5.93	154.13220003537157		2018-06-15 16:19:39.973	7
273	42	132	127.88197029833711	5.12	134.05023562163336		2018-10-09 12:05:39.43	6
274	42	149	69.15415037577924	2.77	71.34702303103508		2019-05-31 00:40:37.002	6
275	42	17	79.93608046792765	3.2	84.41196335059973	4.460543049546983	2018-01-30 17:39:43.668	2
276	42	38	66.06937283839378	2.64	67.87614640095575		2018-04-24 23:43:59.535	3
277	42	79	41.616917284159726	1.66	43.33348543733784		2019-03-22 18:23:24.98	1
278	42	121	26.96352219205405	1.08	28.484891581004533		2017-09-14 19:35:23.076	4
279	44	60	19.86809834572766	1.19	20.897073629065442		2017-08-10 08:29:32.145	7
280	44	8	98.83823503993958	5.93	105.04436116705226		2018-10-17 19:07:02.234	7
281	44	18	54.60204747398195	3.28	57.34706893728227		2017-03-14 20:43:27.742	1
282	44	6	64.95747510229587	3.9	69.27278277426565		2017-01-08 15:11:26.444	1
283	44	39	114.58158180283459	6.87	122.88005053279917		2018-10-03 09:10:25.062	4
284	44	200	48.802638078661005	2.93	52.139876665059		2017-11-09 21:39:14.743	3
285	44	118	57.627613096978735	3.46	60.50690661866073		2018-05-13 13:08:31.727	5
286	44	115	77.91196471862148	4.67	83.02842687886262	7.959897757905706	2018-01-06 22:36:17.244	2
287	44	174	111.61430894181083	6.7	117.8434322580816		2019-07-03 23:15:29.897	5
288	45	120	83.5020135028928	5.01	88.91185739546914		2019-04-07 23:26:03.406	3
289	45	68	115.24343882309758	6.91	121.47227680880327		2019-04-03 03:05:26.275	2
290	45	87	117.25536340498041	7.04	123.51538004538169		2019-10-27 23:40:28.994	3
291	45	194	50.38077396807232	3.02	52.93717694886362		2019-06-17 16:21:56.373	4
292	45	158	93.26282349158673	5.6	99.45967255523763		2017-03-08 12:02:45.306	1
293	45	127	134.48016314504417	8.07	142.83351613693577		2018-02-02 10:52:34.531	2
294	45	11	132.45679913492563	7.95	140.3931957861795		2018-01-29 14:34:05.502	2
295	45	188	33.87738254731509	2.03	36.24786354208219		2020-03-01 11:17:08.503	1
296	45	86	92.31436670850246	5.54	98.29773609674561		2018-04-29 11:08:07.176	2
297	45	149	69.15415037577924	4.15	73.23445738304258		2018-03-15 05:50:24.666	1
298	46	174	111.61430894181083	6.7	118.13496639761573		2019-01-31 05:04:04.921	2
299	47	82	60.89545738030947	3.41	64.98852623892408		2019-09-27 08:23:09.843	7
300	47	185	39.57700083851661	2.22	42.398373536291125		2019-03-05 09:44:19.128	1
301	47	4	110.98767151282252	6.22	117.2771630241824	9.324254543321288	2019-03-04 09:53:15.147	1
302	47	14	37.648145389078365	2.11	39.59577723258363		2019-05-04 21:46:37.826	5
303	47	87	117.25536340498041	6.57	125.72843810808136		2019-01-23 15:02:59.201	3
304	47	27	127.52471180754115	7.14	133.27512285851722		2019-04-17 11:18:12.838	4
305	47	5	124.1176465275534	6.95	132.52547107813146		2018-01-30 21:03:48.031	2
306	47	84	54.58418555091025	3.06	58.37569400011331		2017-12-18 22:29:05.33	2
307	48	99	67.83486485383094	4.41	72.50076599326405		2019-11-04 09:13:37.905	3
308	48	115	77.91196471862148	5.06	83.23154437818819		2020-03-16 16:04:04.843	1
309	48	9	87.46968147789205	5.69	94.20487302050094		2019-01-16 10:14:37.301	2
310	48	81	43.9329842322118	2.86	46.11639156781814	1.3627504831717419	2018-05-28 17:57:00.838	3
311	48	73	47.752514839713	3.1	50.946068461194265		2017-06-22 17:55:26.871	5
312	48	48	123.20884248534108	8.01	133.19095690101338		2019-09-20 21:10:57.257	5
313	48	66	136.16126271106958	8.85	145.899210355003		2019-08-27 07:54:06.028	5
314	48	183	56.697412301919755	3.69	59.81758737487091		2018-04-16 04:33:32.237	2
315	48	180	45.549391048892794	2.96	47.812178512601854		2017-08-16 19:22:10.116	5
316	48	33	31.829909130640935	2.07	33.701686067486584		2016-06-10 22:50:46.065	3
