id.int64()	account_id.int64()	event.string()	timestamp.date(2006-03-02 15:04:05.99999999)	page_url.string()	button_label.string()
49	15	Page Viewed	2022-03-15 05:32:50	www.piespace.example/pies	
50	430	Page Viewed	2022-03-15 05:33:47	www.piespace.example/invite	
51	430	Page Viewed	2022-03-15 05:35:10	www.piespace.example/pies	
52	156	Page Viewed	2022-03-15 05:38:11	www.piespace.example/login	
53	430	Page Viewed	2022-03-15 05:38:58	www.piespace.example/pies	
54	217	Page Viewed	2022-03-15 05:59:24	www.piespace.example/login	
55	200	Page Viewed	2022-03-15 06:03:28	www.piespace.example/invite	
56	217	Page Viewed	2022-03-15 06:32:36	www.piespace.example/help	
57	1447	Button Clicked	2022-03-15 06:39:42		Signup
58	331	Page Viewed	2022-03-15 06:41:10	www.piespace.example/invite	
59	538	Button Clicked	2022-03-15 06:43:22		Checkout
60	11	Page Viewed	2022-03-15 06:49:55	www.piespace.example/login	
61	538	Page Viewed	2022-03-15 06:52:38	www.piespace.example/home	
62	351	Button Clicked	2022-03-15 06:53:53		Subscribe
63	351	Page Viewed	2022-03-15 06:57:24	www.piespace.example/invite	
64	15	Page Viewed	2022-03-15 07:02:58	www.piespace.example/invite	
65	168	Page Viewed	2022-03-15 07:10:49	www.piespace.example/help	
66	15	Page Viewed	2022-03-15 07:13:28	www.piespace.example/login	
67	184	Button Clicked	2022-03-15 07:36:03		Subscribe
68	15	Page Viewed	2022-03-15 07:36:31	www.piespace.example/pies	
69	184	Page Viewed	2022-03-15 07:37:13	www.piespace.example/home	
70	15	Button Clicked	2022-03-15 07:46:36		Signup
71	15	Button Clicked	2022-03-15 07:46:44		Invite
72	15	Button Clicked	2022-03-15 07:46:54		Invite
73	15	Button Clicked	2022-03-15 07:47:04		Invite
74	15	Button Clicked	2022-03-15 07:48:08		Signup
75	15	Button Clicked	2022-03-15 07:48:14		Signup
76	11	Page Viewed	2022-03-15 07:48:35	www.piespace.example/login	
77	15	Button Clicked	2022-03-15 07:50:04		Create Item
78	15	Button Clicked	2022-03-15 07:50:18		Create Item
79	15	Button Clicked	2022-03-15 07:50:26		Invite
80	15	Button Clicked	2022-03-15 07:51:56		Signup
81	15	Button Clicked	2022-03-15 07:52:08		Create Item
82	15	Button Clicked	2022-03-15 07:52:56		Checkout
83	15	Button Clicked	2022-03-15 07:53:02		Invite
84	15	Button Clicked	2022-03-15 07:53:09		Subscribe
85	15	Button Clicked	2022-03-15 07:53:15		Checkout
86	15	Page Viewed	2022-03-15 07:56:54	www.piespace.example/pies	
87	624	Button Clicked	2022-03-15 07:58:39		Subscribe
88	15	Page Viewed	2022-03-15 08:00:58	www.piespace.example/help	
89	115	Page Viewed	2022-03-15 08:02:50	www.piespace.example/pies	
90	15	Page Viewed	2022-03-15 08:07:34	www.piespace.example/invite	
91	115	Page Viewed	2022-03-15 08:07:55	www.piespace.example/home	
92	15	Page Viewed	2022-03-15 08:08:41	www.piespace.example/help	
93	15	Page Viewed	2022-03-15 08:12:08	www.piespace.example/home	
94	15	Page Viewed	2022-03-15 08:19:25	www.piespace.example/invite	
95	103	Button Clicked	2022-03-15 08:20:28		Subscribe
96	15	Page Viewed	2022-03-15 08:26:44	www.piespace.example/help	
97	675	Page Viewed	2022-03-15 08:33:25	www.piespace.example/login	
98	103	Page Viewed	2022-03-15 08:41:47	www.piespace.example/login	
99	103	Page Viewed	2022-03-15 08:44:16	www.piespace.example/help	
100	103	Button Clicked	2022-03-15 08:52:21		Create Item
101	1206	Button Clicked	2022-03-15 08:52:53		Checkout
102	675	Page Viewed	2022-03-15 08:53:06	www.piespace.example/help	
103	80	Page Viewed	2022-03-15 08:56:31	www.piespace.example/invite	
104	103	Page Viewed	2022-03-15 08:57:25	www.piespace.example/pies	
105	15	Button Clicked	2022-03-15 08:58:27		Create Item
106	15	Button Clicked	2022-03-15 08:58:38		Create Item
107	103	Page Viewed	2022-03-15 08:59:03	www.piespace.example/login	
108	15	Page Viewed	2022-03-15 08:59:45	www.piespace.example/pies	
109	1206	Page Viewed	2022-03-15 09:01:16	www.piespace.example/pies	
110	828	Button Clicked	2022-03-15 09:04:09		Signup
111	15	Page Viewed	2022-03-15 09:06:02	www.piespace.example/invite	
112	80	Button Clicked	2022-03-15 09:06:38		Signup
113	80	Page Viewed	2022-03-15 09:07:40	www.piespace.example/login	
114	80	Page Viewed	2022-03-15 09:08:11	www.piespace.example/invite	
115	15	Page Viewed	2022-03-15 09:08:36	www.piespace.example/login	
116	80	Page Viewed	2022-03-15 09:09:03	www.piespace.example/pies	
117	1365	Page Viewed	2022-03-15 09:09:46	www.piespace.example/home	
118	80	Page Viewed	2022-03-15 09:09:51	www.piespace.example/login	
119	80	Page Viewed	2022-03-15 09:11:14	www.piespace.example/home	
120	1206	Page Viewed	2022-03-15 09:12:15	www.piespace.example/login	
121	15	Page Viewed	2022-03-15 09:12:21	www.piespace.example/login	
122	80	Page Viewed	2022-03-15 09:12:29	www.piespace.example/help	
123	44	Button Clicked	2022-03-15 09:12:47		Checkout
124	80	Page Viewed	2022-03-15 09:14:20	www.piespace.example/invite	
125	46	Page Viewed	2022-03-15 09:18:38	www.piespace.example/pies	
126	15	Page Viewed	2022-03-15 09:19:43	www.piespace.example/invite	
127	828	Page Viewed	2022-03-15 09:20:09	www.piespace.example/pies	
128	46	Page Viewed	2022-03-15 09:20:22	www.piespace.example/help	
129	15	Page Viewed	2022-03-15 09:21:36	www.piespace.example/invite	
130	15	Page Viewed	2022-03-15 09:23:57	www.piespace.example/home	
131	80	Page Viewed	2022-03-15 09:24:47	www.piespace.example/pies	
132	89	Page Viewed	2022-03-15 09:25:10	www.piespace.example/home	
133	15	Page Viewed	2022-03-15 09:26:45	www.piespace.example/help	
134	46	Page Viewed	2022-03-15 09:27:09	www.piespace.example/help	
135	44	Page Viewed	2022-03-15 09:32:55	www.piespace.example/invite	
136	44	Page Viewed	2022-03-15 09:32:55	www.piespace.example/invite	
137	44	Page Viewed	2022-03-15 09:32:55	www.piespace.example/help	
138	44	Page Viewed	2022-03-15 09:32:55	www.piespace.example/home	
139	44	Page Viewed	2022-03-15 09:32:56	www.piespace.example/login	
140	1365	Page Viewed	2022-03-15 09:35:07	www.piespace.example/home	
141	200	Page Viewed	2022-03-15 09:41:31	www.piespace.example/pies	
142	80	Page Viewed	2022-03-15 09:42:51	www.piespace.example/help	
143	80	Page Viewed	2022-03-15 09:43:25	www.piespace.example/invite	
144	80	Page Viewed	2022-03-15 09:44:05	www.piespace.example/home	
145	828	Page Viewed	2022-03-15 09:44:37	www.piespace.example/pies	
146	80	Page Viewed	2022-03-15 09:44:48	www.piespace.example/help	
147	44	Page Viewed	2022-03-15 09:44:59	www.piespace.example/pies	
148	44	Page Viewed	2022-03-15 09:44:59	www.piespace.example/invite	
149	44	Page Viewed	2022-03-15 09:44:59	www.piespace.example/home	
150	44	Page Viewed	2022-03-15 09:44:59	www.piespace.example/invite	
151	44	Page Viewed	2022-03-15 09:44:59	www.piespace.example/help	
152	44	Page Viewed	2022-03-15 09:45:00	www.piespace.example/pies	
153	44	Page Viewed	2022-03-15 09:45:00	www.piespace.example/invite	
154	80	Page Viewed	2022-03-15 09:45:41	www.piespace.example/login	
155	1206	Page Viewed	2022-03-15 09:46:34	www.piespace.example/home	
156	80	Page Viewed	2022-03-15 09:47:55	www.piespace.example/invite	
157	200	Page Viewed	2022-03-15 09:48:11	www.piespace.example/invite	
158	80	Page Viewed	2022-03-15 09:48:32	www.piespace.example/invite	
159	1013	Page Viewed	2022-03-15 09:48:44	www.piespace.example/invite	
160	80	Page Viewed	2022-03-15 09:49:08	www.piespace.example/login	
161	80	Page Viewed	2022-03-15 09:51:30	www.piespace.example/help	
162	1352	Page Viewed	2022-03-15 09:51:36	www.piespace.example/home	
163	80	Page Viewed	2022-03-15 09:53:47	www.piespace.example/help	
164	1013	Page Viewed	2022-03-15 09:55:10	www.piespace.example/invite	
165	62	Page Viewed	2022-03-15 10:01:23	www.piespace.example/pies	
166	828	Page Viewed	2022-03-15 10:02:54	www.piespace.example/pies	
167	1206	Page Viewed	2022-03-15 10:03:18	www.piespace.example/login	
168	1206	Page Viewed	2022-03-15 10:03:18	www.piespace.example/pies	
169	637	Button Clicked	2022-03-15 10:04:47		Create Item
170	637	Page Viewed	2022-03-15 10:05:08	www.piespace.example/pies	
171	34	Button Clicked	2022-03-15 10:05:56		Invite
172	77	Button Clicked	2022-03-15 10:14:15		Invite
173	77	Page Viewed	2022-03-15 10:14:27	www.piespace.example/login	
174	80	Page Viewed	2022-03-15 10:14:30	www.piespace.example/help	
175	80	Page Viewed	2022-03-15 10:15:32	www.piespace.example/login	
176	273	Button Clicked	2022-03-15 10:19:17		Invite
177	1013	Page Viewed	2022-03-15 10:22:06	www.piespace.example/login	
178	273	Page Viewed	2022-03-15 10:22:39	www.piespace.example/invite	
179	15	Page Viewed	2022-03-15 10:22:41	www.piespace.example/login	
180	1013	Page Viewed	2022-03-15 10:25:09	www.piespace.example/invite	
181	15	Page Viewed	2022-03-15 10:26:20	www.piespace.example/home	
182	62	Page Viewed	2022-03-15 10:29:36	www.piespace.example/home	
183	273	Page Viewed	2022-03-15 10:29:43	www.piespace.example/help	
184	15	Page Viewed	2022-03-15 10:32:07	www.piespace.example/help	
185	15	Page Viewed	2022-03-15 10:40:02	www.piespace.example/help	
186	15	Page Viewed	2022-03-15 10:44:13	www.piespace.example/home	
187	15	Page Viewed	2022-03-15 10:44:18	www.piespace.example/help	
188	15	Page Viewed	2022-03-15 10:50:16	www.piespace.example/invite	
189	15	Page Viewed	2022-03-15 10:56:15	www.piespace.example/pies	
190	15	Page Viewed	2022-03-15 10:57:56	www.piespace.example/home	
191	77	Page Viewed	2022-03-15 11:01:44	www.piespace.example/login	
192	77	Page Viewed	2022-03-15 11:03:43	www.piespace.example/help	
193	15	Page Viewed	2022-03-15 11:04:03	www.piespace.example/login	
194	77	Page Viewed	2022-03-15 11:07:09	www.piespace.example/home	
195	15	Page Viewed	2022-03-15 11:11:11	www.piespace.example/login	
196	823	Page Viewed	2022-03-15 11:11:53	www.piespace.example/login	
197	51	Page Viewed	2022-03-15 11:12:15	www.piespace.example/login	
198	15	Page Viewed	2022-03-15 11:13:24	www.piespace.example/invite	
199	15	Page Viewed	2022-03-15 11:16:21	www.piespace.example/help	
200	15	Page Viewed	2022-03-15 11:17:57	www.piespace.example/home	
201	108	Page Viewed	2022-03-15 11:22:18	www.piespace.example/login	
202	108	Page Viewed	2022-03-15 11:23:05	www.piespace.example/invite	
203	15	Page Viewed	2022-03-15 11:24:31	www.piespace.example/pies	
204	1017	Page Viewed	2022-03-15 11:25:47	www.piespace.example/invite	
205	108	Page Viewed	2022-03-15 11:29:41	www.piespace.example/home	
206	77	Page Viewed	2022-03-15 11:33:15	www.piespace.example/pies	
207	568	Page Viewed	2022-03-15 11:37:14	www.piespace.example/pies	
208	108	Page Viewed	2022-03-15 11:44:50	www.piespace.example/home	
209	15	Page Viewed	2022-03-15 11:46:15	www.piespace.example/help	
210	168	Page Viewed	2022-03-15 11:47:52	www.piespace.example/invite	
211	15	Page Viewed	2022-03-15 11:48:15	www.piespace.example/home	
212	108	Page Viewed	2022-03-15 11:49:46	www.piespace.example/home	
213	15	Page Viewed	2022-03-15 11:50:11	www.piespace.example/home	
214	15	Page Viewed	2022-03-15 11:52:28	www.piespace.example/pies	
215	108	Page Viewed	2022-03-15 11:54:45	www.piespace.example/home	
216	15	Page Viewed	2022-03-15 11:56:54	www.piespace.example/pies	
217	273	Page Viewed	2022-03-15 11:57:02	www.piespace.example/pies	
218	68	Page Viewed	2022-03-15 11:59:56	www.piespace.example/pies	
219	15	Page Viewed	2022-03-15 12:03:03	www.piespace.example/help	
220	15	Page Viewed	2022-03-15 12:03:39	www.piespace.example/invite	
221	637	Page Viewed	2022-03-15 12:03:41	www.piespace.example/home	
222	15	Page Viewed	2022-03-15 12:05:06	www.piespace.example/home	
223	15	Page Viewed	2022-03-15 12:06:35	www.piespace.example/pies	
224	15	Page Viewed	2022-03-15 12:09:13	www.piespace.example/pies	
225	108	Page Viewed	2022-03-15 12:12:11	www.piespace.example/invite	
226	15	Page Viewed	2022-03-15 12:13:01	www.piespace.example/login	
227	15	Page Viewed	2022-03-15 12:13:52	www.piespace.example/invite	
228	273	Page Viewed	2022-03-15 12:14:25	www.piespace.example/home	
229	108	Button Clicked	2022-03-15 12:15:44		Create Item
230	15	Page Viewed	2022-03-15 12:16:43	www.piespace.example/help	
231	253	Page Viewed	2022-03-15 12:17:02	www.piespace.example/home	
232	15	Page Viewed	2022-03-15 12:18:38	www.piespace.example/pies	
233	637	Page Viewed	2022-03-15 12:39:16	www.piespace.example/home	
234	314	Page Viewed	2022-03-15 12:42:19	www.piespace.example/home	
235	178	Page Viewed	2022-03-15 12:55:29	www.piespace.example/login	
236	178	Page Viewed	2022-03-15 12:55:29	www.piespace.example/help	
237	118	Page Viewed	2022-03-15 12:58:41	www.piespace.example/help	
238	118	Page Viewed	2022-03-15 12:58:41	www.piespace.example/invite	
239	118	Page Viewed	2022-03-15 12:58:42	www.piespace.example/invite	
240	118	Page Viewed	2022-03-15 12:58:42	www.piespace.example/invite	
241	1208	Button Clicked	2022-03-15 13:03:47		Invite
242	916	Page Viewed	2022-03-15 13:04:59	www.piespace.example/invite	
243	42	Button Clicked	2022-03-15 13:15:17		Checkout
244	80	Page Viewed	2022-03-15 13:28:18	www.piespace.example/home	
245	80	Page Viewed	2022-03-15 13:34:55	www.piespace.example/home	
246	80	Page Viewed	2022-03-15 13:36:51	www.piespace.example/pies	
247	75	Page Viewed	2022-03-15 13:37:55	www.piespace.example/invite	
248	246	Button Clicked	2022-03-15 13:49:08		Create Item
249	80	Page Viewed	2022-03-15 13:50:25	www.piespace.example/pies	
250	42	Page Viewed	2022-03-15 13:50:28	www.piespace.example/help	
251	42	Page Viewed	2022-03-15 13:50:28	www.piespace.example/invite	
252	54	Button Clicked	2022-03-15 13:53:42		Checkout
253	80	Page Viewed	2022-03-15 13:56:18	www.piespace.example/invite	
254	160	Button Clicked	2022-03-15 13:59:15		Checkout
255	42	Page Viewed	2022-03-15 14:02:51	www.piespace.example/home	
256	42	Page Viewed	2022-03-15 14:02:51	www.piespace.example/login	
257	42	Page Viewed	2022-03-15 14:02:51	www.piespace.example/login	
258	42	Page Viewed	2022-03-15 14:02:51	www.piespace.example/login	
259	56	Page Viewed	2022-03-15 14:03:16	www.piespace.example/login	
260	80	Page Viewed	2022-03-15 14:20:36	www.piespace.example/login	
261	242	Button Clicked	2022-03-15 14:23:09		Checkout
262	130	Page Viewed	2022-03-15 14:26:33	www.piespace.example/login	
263	168	Page Viewed	2022-03-15 14:34:27	www.piespace.example/login	
264	1013	Page Viewed	2022-03-15 14:35:25	www.piespace.example/home	
265	80	Page Viewed	2022-03-15 14:36:03	www.piespace.example/help	
266	56	Page Viewed	2022-03-15 14:47:51	www.piespace.example/help	
267	118	Page Viewed	2022-03-15 14:51:26	www.piespace.example/pies	
268	825	Page Viewed	2022-03-15 14:54:59	www.piespace.example/login	
269	56	Page Viewed	2022-03-15 14:55:38	www.piespace.example/invite	
270	825	Page Viewed	2022-03-15 14:56:18	www.piespace.example/login	
271	129	Page Viewed	2022-03-15 14:57:48	www.piespace.example/login	
272	62	Page Viewed	2022-03-15 14:58:23	www.piespace.example/invite	
273	1208	Page Viewed	2022-03-15 14:59:44	www.piespace.example/login	
274	108	Page Viewed	2022-03-15 15:00:38	www.piespace.example/invite	
275	108	Page Viewed	2022-03-15 15:00:38	www.piespace.example/home	
276	108	Page Viewed	2022-03-15 15:00:39	www.piespace.example/help	
277	1365	Page Viewed	2022-03-15 15:01:52	www.piespace.example/home	
278	129	Page Viewed	2022-03-15 15:06:07	www.piespace.example/invite	
279	62	Page Viewed	2022-03-15 15:06:33	www.piespace.example/home	
280	1365	Page Viewed	2022-03-15 15:10:56	www.piespace.example/pies	
281	1365	Page Viewed	2022-03-15 15:10:56	www.piespace.example/home	
282	160	Page Viewed	2022-03-15 15:11:53	www.piespace.example/pies	
283	62	Page Viewed	2022-03-15 15:16:02	www.piespace.example/help	
284	394	Button Clicked	2022-03-15 15:17:11		Create Item
285	62	Page Viewed	2022-03-15 15:17:40	www.piespace.example/pies	
286	528	Button Clicked	2022-03-15 15:30:08		Signup
287	528	Page Viewed	2022-03-15 15:32:04	www.piespace.example/invite	
288	528	Page Viewed	2022-03-15 15:32:05	www.piespace.example/home	
289	42	Page Viewed	2022-03-15 15:32:09	www.piespace.example/login	
290	62	Page Viewed	2022-03-15 15:32:58	www.piespace.example/invite	
291	62	Page Viewed	2022-03-15 15:33:42	www.piespace.example/home	
292	62	Page Viewed	2022-03-15 15:35:54	www.piespace.example/pies	
293	62	Page Viewed	2022-03-15 15:42:21	www.piespace.example/login	
294	968	Button Clicked	2022-03-15 15:42:33		Subscribe
295	528	Page Viewed	2022-03-15 15:47:53	www.piespace.example/help	
296	20	Page Viewed	2022-03-15 16:13:28	www.piespace.example/login	
297	217	Button Clicked	2022-03-15 16:20:04		Invite
298	217	Page Viewed	2022-03-15 16:21:12	www.piespace.example/invite	
299	968	Page Viewed	2022-03-15 16:21:22	www.piespace.example/invite	
300	209	Page Viewed	2022-03-15 16:40:24	www.piespace.example/invite	
301	20	Page Viewed	2022-03-15 16:41:23	www.piespace.example/invite	
302	149	Page Viewed	2022-03-15 16:43:18	www.piespace.example/login	
303	46	Page Viewed	2022-03-15 17:07:33	www.piespace.example/home	
304	11	Page Viewed	2022-03-15 17:08:29	www.piespace.example/login	
305	1048	Button Clicked	2022-03-15 17:09:38		Create Item
306	42	Button Clicked	2022-03-15 17:17:46		Signup
307	246	Page Viewed	2022-03-15 17:25:26	www.piespace.example/invite	
308	246	Page Viewed	2022-03-15 17:25:27	www.piespace.example/pies	
309	178	Page Viewed	2022-03-15 17:26:26	www.piespace.example/home	
310	382	Page Viewed	2022-03-15 17:43:31	www.piespace.example/invite	
311	719	Page Viewed	2022-03-15 17:45:19	www.piespace.example/pies	
312	719	Page Viewed	2022-03-15 17:46:49	www.piespace.example/login	
313	1048	Button Clicked	2022-03-15 17:48:05		Invite
314	1048	Page Viewed	2022-03-15 17:50:01	www.piespace.example/login	
315	42	Page Viewed	2022-03-15 17:51:31	www.piespace.example/invite	
316	109	Page Viewed	2022-03-15 17:51:47	www.piespace.example/invite	
317	719	Page Viewed	2022-03-15 17:53:07	www.piespace.example/pies	
318	200	Page Viewed	2022-03-15 17:53:28	www.piespace.example/invite	
319	382	Page Viewed	2022-03-15 17:55:41	www.piespace.example/home	
320	1048	Page Viewed	2022-03-15 17:56:43	www.piespace.example/login	
321	68	Button Clicked	2022-03-15 18:00:20		Invite
322	42	Page Viewed	2022-03-15 18:00:31	www.piespace.example/login	
323	118	Page Viewed	2022-03-15 18:02:43	www.piespace.example/help	
324	217	Page Viewed	2022-03-15 18:03:52	www.piespace.example/help	
325	68	Page Viewed	2022-03-15 18:05:33	www.piespace.example/pies	
326	68	Page Viewed	2022-03-15 18:05:33	www.piespace.example/help	
327	68	Page Viewed	2022-03-15 18:05:33	www.piespace.example/help	
328	68	Page Viewed	2022-03-15 18:05:33	www.piespace.example/login	
329	68	Page Viewed	2022-03-15 18:05:33	www.piespace.example/login	
330	68	Page Viewed	2022-03-15 18:05:33	www.piespace.example/login	
331	42	Page Viewed	2022-03-15 18:06:00	www.piespace.example/login	
332	101	Page Viewed	2022-03-15 18:08:38	www.piespace.example/home	
333	20	Page Viewed	2022-03-15 18:09:54	www.piespace.example/pies	
334	83	Page Viewed	2022-03-15 18:15:50	www.piespace.example/pies	
335	486	Page Viewed	2022-03-15 18:16:00	www.piespace.example/help	
336	486	Page Viewed	2022-03-15 18:19:20	www.piespace.example/pies	
337	1208	Page Viewed	2022-03-15 18:24:23	www.piespace.example/home	
338	20	Page Viewed	2022-03-15 18:32:32	www.piespace.example/home	
339	458	Page Viewed	2022-03-15 18:36:53	www.piespace.example/home	
340	11	Page Viewed	2022-03-15 18:38:34	www.piespace.example/home	
341	1045	Button Clicked	2022-03-15 18:39:15		Create Item
342	1208	Page Viewed	2022-03-15 18:40:21	www.piespace.example/pies	
343	11	Page Viewed	2022-03-15 18:48:00	www.piespace.example/help	
344	350	Page Viewed	2022-03-15 18:55:01	www.piespace.example/help	
345	11	Page Viewed	2022-03-15 18:57:33	www.piespace.example/home	
346	42	Button Clicked	2022-03-15 18:57:48		Create Item
347	75	Button Clicked	2022-03-15 18:57:53		Invite
348	11	Page Viewed	2022-03-15 19:00:33	www.piespace.example/pies	
349	41	Page Viewed	2022-03-15 19:02:34	www.piespace.example/login	
350	68	Page Viewed	2022-03-15 19:03:51	www.piespace.example/login	
351	68	Page Viewed	2022-03-15 19:03:51	www.piespace.example/pies	
352	68	Page Viewed	2022-03-15 19:03:51	www.piespace.example/help	
353	68	Page Viewed	2022-03-15 19:07:18	www.piespace.example/login	
354	68	Page Viewed	2022-03-15 19:07:18	www.piespace.example/home	
355	68	Page Viewed	2022-03-15 19:07:18	www.piespace.example/home	
356	68	Page Viewed	2022-03-15 19:07:18	www.piespace.example/home	
357	75	Page Viewed	2022-03-15 19:10:32	www.piespace.example/login	
358	931	Page Viewed	2022-03-15 19:13:15	www.piespace.example/help	
359	110	Page Viewed	2022-03-15 19:14:08	www.piespace.example/invite	
360	68	Page Viewed	2022-03-15 19:15:45	www.piespace.example/help	
361	68	Page Viewed	2022-03-15 19:17:49	www.piespace.example/pies	
362	41	Page Viewed	2022-03-15 19:21:15	www.piespace.example/pies	
363	75	Page Viewed	2022-03-15 19:27:45	www.piespace.example/login	
364	68	Page Viewed	2022-03-15 19:29:31	www.piespace.example/invite	
365	68	Page Viewed	2022-03-15 19:29:31	www.piespace.example/login	
366	68	Page Viewed	2022-03-15 19:29:31	www.piespace.example/login	
367	68	Page Viewed	2022-03-15 19:41:13	www.piespace.example/home	
368	68	Page Viewed	2022-03-15 19:41:13	www.piespace.example/help	
369	75	Page Viewed	2022-03-15 19:43:01	www.piespace.example/pies	
370	65	Page Viewed	2022-03-15 19:43:23	www.piespace.example/login	
371	65	Page Viewed	2022-03-15 19:43:24	www.piespace.example/invite	
372	65	Page Viewed	2022-03-15 19:43:24	www.piespace.example/home	
373	65	Page Viewed	2022-03-15 19:43:24	www.piespace.example/invite	
374	65	Page Viewed	2022-03-15 19:43:24	www.piespace.example/home	
375	65	Page Viewed	2022-03-15 19:43:24	www.piespace.example/home	
376	65	Page Viewed	2022-03-15 19:43:24	www.piespace.example/invite	
377	65	Page Viewed	2022-03-15 19:43:24	www.piespace.example/login	
378	65	Page Viewed	2022-03-15 19:43:24	www.piespace.example/home	
379	68	Page Viewed	2022-03-15 19:43:27	www.piespace.example/pies	
380	394	Button Clicked	2022-03-15 19:45:44		Subscribe
381	51	Page Viewed	2022-03-15 19:47:43	www.piespace.example/invite	
382	65	Page Viewed	2022-03-15 19:49:35	www.piespace.example/home	
383	65	Page Viewed	2022-03-15 19:54:21	www.piespace.example/home	
384	65	Page Viewed	2022-03-15 19:54:21	www.piespace.example/help	
385	65	Page Viewed	2022-03-15 19:56:15	www.piespace.example/invite	
386	931	Page Viewed	2022-03-15 19:57:24	www.piespace.example/home	
387	931	Page Viewed	2022-03-15 19:57:25	www.piespace.example/invite	
388	931	Page Viewed	2022-03-15 19:57:25	www.piespace.example/help	
389	68	Page Viewed	2022-03-15 20:19:30	www.piespace.example/invite	
390	931	Page Viewed	2022-03-15 20:20:46	www.piespace.example/pies	
391	68	Page Viewed	2022-03-15 20:20:47	www.piespace.example/help	
392	931	Page Viewed	2022-03-15 20:20:47	www.piespace.example/home	
393	931	Page Viewed	2022-03-15 20:20:47	www.piespace.example/pies	
394	882	Page Viewed	2022-03-15 20:22:10	www.piespace.example/invite	
395	42	Page Viewed	2022-03-15 20:22:16	www.piespace.example/pies	
396	882	Page Viewed	2022-03-15 20:22:49	www.piespace.example/invite	
397	882	Page Viewed	2022-03-15 20:22:49	www.piespace.example/login	
398	65	Page Viewed	2022-03-15 20:23:24	www.piespace.example/help	
399	65	Page Viewed	2022-03-15 20:30:02	www.piespace.example/home	
400	940	Button Clicked	2022-03-15 20:34:54		Signup
401	56	Button Clicked	2022-03-15 20:37:35		Create Item
402	68	Button Clicked	2022-03-15 20:37:38		Create Item
403	933	Page Viewed	2022-03-15 20:37:59	www.piespace.example/home	
