id.int64()	account_id.int64()	payment.decimal()	expected_invoice.boolean()	plan.string()	date_received.date(2006-03-02 15:04:05.99999999)
69	40	295.00	true	Basic	2021-01-30 00:00:00
70	334	295.00	true	Basic	2021-02-24 00:00:00
71	327	295.00	true	Basic	2021-02-24 00:00:00
72	314	875.00	true	Premium	2021-02-24 00:00:00
73	308	875.00	true	Premium	2021-02-25 00:00:00
74	250	295.00	true	Basic	2021-02-26 00:00:00
75	244	295.00	true	Basic	2021-02-26 00:00:00
76	187	295.00	true	Basic	2021-02-27 00:00:00
77	203	295.00	true	Basic	2021-02-27 00:00:00
78	191	295.00	true	Basic	2021-02-27 00:00:00
79	54	295.00	true	Basic	2021-02-28 00:00:00
80	92	295.00	true	Basic	2021-02-28 00:00:00
81	40	295.00	true	Basic	2021-02-28 00:00:00
82	28	295.00	true	Basic	2021-02-28 00:00:00
83	135	295.00	true	Basic	2021-02-28 00:00:00
84	120	654.60	true	Basic	2021-02-28 00:00:00
85	63	295.00	true	Basic	2021-02-28 00:00:00
86	43	295.00	true	Basic	2021-02-28 00:00:00
87	164	295.00	true	Basic	2021-02-28 00:00:00
88	132	295.00	true	Basic	2021-02-28 00:00:00
89	103	295.00	true	Basic	2021-02-28 00:00:00
90	36	295.00	true	Basic	2021-02-28 00:00:00
91	80	382.00	true	Basic	2021-02-28 00:00:00
92	81	295.00	true	Basic	2021-02-28 00:00:00
93	53	295.00	true	Basic	2021-02-28 00:00:00
94	90	550.20	true	Basic	2021-02-28 00:00:00
95	328	295.00	true	Basic	2021-03-24 00:00:00
96	327	295.00	true	Basic	2021-03-24 00:00:00
97	314	875.00	true	Premium	2021-03-24 00:00:00
98	334	295.00	true	Basic	2021-03-24 00:00:00
99	308	875.00	true	Premium	2021-03-25 00:00:00
100	250	295.00	true	Basic	2021-03-26 00:00:00
101	244	295.00	true	Basic	2021-03-26 00:00:00
102	200	295.00	true	Basic	2021-03-27 00:00:00
103	187	295.00	true	Basic	2021-03-27 00:00:00
104	191	295.00	true	Basic	2021-03-27 00:00:00
105	203	295.00	true	Basic	2021-03-27 00:00:00
106	164	295.00	true	Basic	2021-03-28 00:00:00
107	120	657.50	true	Basic	2021-03-28 00:00:00
108	135	295.00	true	Basic	2021-03-28 00:00:00
109	132	295.00	true	Basic	2021-03-28 00:00:00
110	80	434.20	true	Basic	2021-03-29 00:00:00
111	103	295.00	true	Basic	2021-03-29 00:00:00
112	63	295.00	true	Basic	2021-03-29 00:00:00
113	90	512.50	true	Basic	2021-03-29 00:00:00
114	81	295.00	true	Basic	2021-03-29 00:00:00
115	92	295.00	true	Basic	2021-03-29 00:00:00
116	53	295.00	true	Basic	2021-03-30 00:00:00
117	31	295.00	true	Basic	2021-03-30 00:00:00
118	40	295.00	true	Basic	2021-03-30 00:00:00
119	28	295.00	true	Basic	2021-03-30 00:00:00
120	43	295.00	true	Basic	2021-03-30 00:00:00
121	36	295.00	true	Basic	2021-03-30 00:00:00
122	54	295.00	true	Basic	2021-03-30 00:00:00
123	24	295.00	true	Basic	2021-03-31 00:00:00
124	4	295.00	true	Basic	2021-03-31 00:00:00
125	25	295.00	true	Basic	2021-03-31 00:00:00
126	27	295.00	true	Basic	2021-03-31 00:00:00
127	328	295.00	true	Basic	2021-04-24 00:00:00
128	327	295.00	true	Basic	2021-04-24 00:00:00
129	334	295.00	true	Basic	2021-04-24 00:00:00
130	319	234.10	true	Basic	2021-04-24 00:00:00
131	314	875.00	true	Premium	2021-04-24 00:00:00
132	308	875.00	true	Premium	2021-04-25 00:00:00
133	244	295.00	true	Basic	2021-04-26 00:00:00
134	250	295.00	true	Basic	2021-04-26 00:00:00
135	187	295.00	true	Basic	2021-04-27 00:00:00
136	203	295.00	true	Basic	2021-04-27 00:00:00
137	200	373.30	true	Basic	2021-04-27 00:00:00
138	191	295.00	true	Basic	2021-04-27 00:00:00
139	132	295.00	true	Basic	2021-04-28 00:00:00
140	120	663.30	true	Basic	2021-04-28 00:00:00
141	123	234.10	true	Basic	2021-04-28 00:00:00
142	135	295.00	true	Basic	2021-04-28 00:00:00
143	164	295.00	true	Basic	2021-04-28 00:00:00
144	90	576.30	true	Basic	2021-04-29 00:00:00
145	63	295.00	true	Basic	2021-04-29 00:00:00
146	103	321.10	true	Basic	2021-04-29 00:00:00
147	79	234.10	true	Basic	2021-04-29 00:00:00
148	107	295.00	true	Basic	2021-04-29 00:00:00
149	92	295.00	true	Basic	2021-04-29 00:00:00
150	81	295.00	true	Basic	2021-04-29 00:00:00
151	109	234.10	true	Basic	2021-04-29 00:00:00
152	80	425.50	true	Basic	2021-04-29 00:00:00
153	4	295.00	true	Basic	2021-04-30 00:00:00
154	43	295.00	true	Basic	2021-04-30 00:00:00
155	42	234.10	true	Basic	2021-04-30 00:00:00
156	25	295.00	true	Basic	2021-04-30 00:00:00
157	31	295.00	true	Basic	2021-04-30 00:00:00
158	24	295.00	true	Basic	2021-04-30 00:00:00
159	36	295.00	true	Basic	2021-04-30 00:00:00
160	27	295.00	true	Basic	2021-04-30 00:00:00
161	28	295.00	true	Basic	2021-04-30 00:00:00
162	40	295.00	true	Basic	2021-04-30 00:00:00
163	53	295.00	true	Basic	2021-04-30 00:00:00
164	54	295.00	true	Basic	2021-04-30 00:00:00
165	319	234.10	true	Basic	2021-05-24 00:00:00
166	327	295.00	true	Basic	2021-05-24 00:00:00
167	334	295.00	true	Basic	2021-05-24 00:00:00
168	328	295.00	true	Basic	2021-05-24 00:00:00
169	314	875.00	true	Premium	2021-05-24 00:00:00
170	308	875.00	true	Premium	2021-05-25 00:00:00
171	250	295.00	true	Basic	2021-05-26 00:00:00
172	244	295.00	true	Basic	2021-05-26 00:00:00
173	254	454.50	true	Basic	2021-05-26 00:00:00
174	203	295.00	true	Basic	2021-05-27 00:00:00
175	205	251.50	true	Basic	2021-05-27 00:00:00
176	191	295.00	true	Basic	2021-05-27 00:00:00
177	200	367.50	true	Basic	2021-05-27 00:00:00
178	187	295.00	true	Basic	2021-05-27 00:00:00
179	135	295.00	true	Basic	2021-05-28 00:00:00
180	123	234.10	true	Basic	2021-05-28 00:00:00
181	132	295.00	true	Basic	2021-05-28 00:00:00
182	120	756.10	true	Basic	2021-05-28 00:00:00
183	164	315.30	true	Basic	2021-05-28 00:00:00
184	72	251.50	true	Basic	2021-05-29 00:00:00
185	79	234.10	true	Basic	2021-05-29 00:00:00
186	80	474.80	true	Basic	2021-05-29 00:00:00
187	81	295.00	true	Basic	2021-05-29 00:00:00
188	63	295.00	true	Basic	2021-05-29 00:00:00
189	73	251.50	true	Basic	2021-05-29 00:00:00
190	103	396.50	true	Basic	2021-05-29 00:00:00
191	109	234.10	true	Basic	2021-05-29 00:00:00
192	90	587.90	true	Basic	2021-05-29 00:00:00
193	92	295.00	true	Basic	2021-05-29 00:00:00
194	107	295.00	true	Basic	2021-05-29 00:00:00
195	54	295.00	true	Basic	2021-05-30 00:00:00
196	31	295.00	true	Basic	2021-05-30 00:00:00
197	53	295.00	true	Basic	2021-05-30 00:00:00
198	42	234.10	true	Basic	2021-05-30 00:00:00
199	28	295.00	true	Basic	2021-05-30 00:00:00
200	40	295.00	true	Basic	2021-05-30 00:00:00
201	36	295.00	true	Basic	2021-05-30 00:00:00
202	43	295.00	true	Basic	2021-05-30 00:00:00
203	4	295.00	true	Basic	2021-05-31 00:00:00
204	27	295.00	true	Basic	2021-05-31 00:00:00
205	24	295.00	true	Basic	2021-05-31 00:00:00
206	25	295.00	true	Basic	2021-05-31 00:00:00
207	328	295.00	true	Basic	2021-06-24 00:00:00
208	327	295.00	true	Basic	2021-06-24 00:00:00
209	334	295.00	true	Basic	2021-06-24 00:00:00
210	319	234.10	true	Basic	2021-06-24 00:00:00
211	314	915.60	true	Premium	2021-06-24 00:00:00
212	308	875.00	true	Premium	2021-06-25 00:00:00
213	263	266.00	true	Basic	2021-06-25 00:00:00
214	254	738.70	true	Basic	2021-06-26 00:00:00
215	244	295.00	true	Basic	2021-06-26 00:00:00
216	248	251.50	true	Basic	2021-06-26 00:00:00
217	252	251.50	true	Basic	2021-06-26 00:00:00
218	250	295.00	true	Basic	2021-06-26 00:00:00
219	203	295.00	true	Basic	2021-06-27 00:00:00
220	187	295.00	true	Basic	2021-06-27 00:00:00
221	191	295.00	true	Basic	2021-06-27 00:00:00
222	205	251.50	true	Basic	2021-06-27 00:00:00
223	200	390.70	true	Basic	2021-06-27 00:00:00
224	171	251.50	true	Basic	2021-06-27 00:00:00
225	135	295.00	true	Basic	2021-06-28 00:00:00
226	123	234.10	true	Basic	2021-06-28 00:00:00
227	141	251.50	true	Basic	2021-06-28 00:00:00
228	132	295.00	true	Basic	2021-06-28 00:00:00
229	120	457.40	true	Basic	2021-06-28 00:00:00
230	164	312.40	true	Basic	2021-06-28 00:00:00
231	118	324.00	true	Basic	2021-06-28 00:00:00
232	92	295.00	true	Basic	2021-06-29 00:00:00
233	113	251.50	true	Basic	2021-06-29 00:00:00
234	72	251.50	true	Basic	2021-06-29 00:00:00
235	107	295.00	true	Basic	2021-06-29 00:00:00
236	90	614.00	true	Basic	2021-06-29 00:00:00
237	103	367.50	true	Basic	2021-06-29 00:00:00
238	112	251.50	true	Basic	2021-06-29 00:00:00
239	63	295.00	true	Basic	2021-06-29 00:00:00
240	80	524.10	true	Basic	2021-06-29 00:00:00
241	79	234.10	true	Basic	2021-06-29 00:00:00
242	81	295.00	true	Basic	2021-06-29 00:00:00
243	109	234.10	true	Basic	2021-06-29 00:00:00
244	73	286.30	true	Basic	2021-06-29 00:00:00
245	43	295.00	true	Basic	2021-06-30 00:00:00
246	28	295.00	true	Basic	2021-06-30 00:00:00
247	54	295.00	true	Basic	2021-06-30 00:00:00
248	25	295.00	true	Basic	2021-06-30 00:00:00
249	27	295.00	true	Basic	2021-06-30 00:00:00
250	31	295.00	true	Basic	2021-06-30 00:00:00
251	4	295.00	true	Basic	2021-06-30 00:00:00
252	36	295.00	true	Basic	2021-06-30 00:00:00
253	57	251.50	true	Basic	2021-06-30 00:00:00
254	42	234.10	true	Basic	2021-06-30 00:00:00
255	53	295.00	true	Basic	2021-06-30 00:00:00
256	24	295.00	true	Basic	2021-06-30 00:00:00
257	41	338.50	true	Basic	2021-06-30 00:00:00
258	56	251.50	true	Basic	2021-06-30 00:00:00
259	40	295.00	true	Basic	2021-06-30 00:00:00
260	52	251.50	true	Basic	2021-06-30 00:00:00
261	327	295.00	true	Basic	2021-07-24 00:00:00
262	328	295.00	true	Basic	2021-07-24 00:00:00
263	335	266.00	true	Basic	2021-07-24 00:00:00
264	314	904.00	true	Premium	2021-07-24 00:00:00
265	334	295.00	true	Basic	2021-07-24 00:00:00
266	319	234.10	true	Basic	2021-07-24 00:00:00
267	308	875.00	true	Premium	2021-07-25 00:00:00
268	263	266.00	true	Basic	2021-07-25 00:00:00
269	254	886.60	true	Basic	2021-07-26 00:00:00
270	250	295.00	true	Basic	2021-07-26 00:00:00
271	243	251.50	true	Basic	2021-07-26 00:00:00
272	244	295.00	true	Basic	2021-07-26 00:00:00
273	248	251.50	true	Basic	2021-07-26 00:00:00
274	252	251.50	true	Basic	2021-07-26 00:00:00
275	191	295.00	true	Basic	2021-07-27 00:00:00
276	200	396.50	true	Basic	2021-07-27 00:00:00
277	171	469.00	true	Basic	2021-07-27 00:00:00
278	205	251.50	true	Basic	2021-07-27 00:00:00
279	203	295.00	true	Basic	2021-07-27 00:00:00
280	187	295.00	true	Basic	2021-07-27 00:00:00
281	141	251.50	true	Basic	2021-07-28 00:00:00
282	118	422.60	true	Basic	2021-07-28 00:00:00
283	147	251.50	true	Basic	2021-07-28 00:00:00
284	123	234.10	true	Basic	2021-07-28 00:00:00
285	132	332.70	true	Basic	2021-07-28 00:00:00
286	120	596.60	true	Basic	2021-07-28 00:00:00
287	164	341.40	true	Basic	2021-07-28 00:00:00
288	135	295.00	true	Basic	2021-07-28 00:00:00
289	161	2177.10	true	Business	2021-07-28 00:00:00
290	103	393.60	true	Basic	2021-07-29 00:00:00
291	105	309.50	true	Basic	2021-07-29 00:00:00
292	79	234.10	true	Basic	2021-07-29 00:00:00
293	112	251.50	true	Basic	2021-07-29 00:00:00
294	80	431.30	true	Basic	2021-07-29 00:00:00
295	72	251.50	true	Basic	2021-07-29 00:00:00
296	109	234.10	true	Basic	2021-07-29 00:00:00
297	104	411.00	true	Basic	2021-07-29 00:00:00
298	92	295.00	true	Basic	2021-07-29 00:00:00
299	107	295.00	true	Basic	2021-07-29 00:00:00
300	111	266.00	true	Basic	2021-07-29 00:00:00
301	63	295.00	true	Basic	2021-07-29 00:00:00
302	73	373.30	true	Basic	2021-07-29 00:00:00
303	113	251.50	true	Basic	2021-07-29 00:00:00
304	90	614.00	true	Basic	2021-07-29 00:00:00
305	81	295.00	true	Basic	2021-07-29 00:00:00
306	56	251.50	true	Basic	2021-07-30 00:00:00
307	28	295.00	true	Basic	2021-07-30 00:00:00
308	43	295.00	true	Basic	2021-07-30 00:00:00
309	54	295.00	true	Basic	2021-07-30 00:00:00
310	40	295.00	true	Basic	2021-07-30 00:00:00
311	52	251.50	true	Basic	2021-07-30 00:00:00
312	42	234.10	true	Basic	2021-07-30 00:00:00
313	31	295.00	true	Basic	2021-07-30 00:00:00
314	29	251.50	true	Basic	2021-07-30 00:00:00
315	53	295.00	true	Basic	2021-07-30 00:00:00
316	41	556.00	true	Basic	2021-07-30 00:00:00
317	57	251.50	true	Basic	2021-07-30 00:00:00
318	36	295.00	true	Basic	2021-07-30 00:00:00
319	24	295.00	true	Basic	2021-07-31 00:00:00
320	27	295.00	true	Basic	2021-07-31 00:00:00
321	4	295.00	true	Basic	2021-07-31 00:00:00
322	5	367.50	true	Basic	2021-07-31 00:00:00
323	25	295.00	true	Basic	2021-07-31 00:00:00
324	26	280.50	true	Basic	2021-07-31 00:00:00
325	335	544.40	true	Basic	2021-08-24 00:00:00
326	328	295.00	true	Basic	2021-08-24 00:00:00
327	327	295.00	true	Basic	2021-08-24 00:00:00
328	319	234.10	true	Basic	2021-08-24 00:00:00
329	334	295.00	true	Basic	2021-08-24 00:00:00
330	314	904.00	true	Premium	2021-08-24 00:00:00
331	263	283.40	true	Basic	2021-08-25 00:00:00
332	286	251.50	true	Basic	2021-08-25 00:00:00
333	244	295.00	true	Basic	2021-08-26 00:00:00
334	226	251.50	true	Basic	2021-08-26 00:00:00
335	253	266.00	true	Basic	2021-08-26 00:00:00
336	250	295.00	true	Basic	2021-08-26 00:00:00
337	252	251.50	true	Basic	2021-08-26 00:00:00
338	216	251.50	true	Basic	2021-08-26 00:00:00
339	243	300.80	true	Basic	2021-08-26 00:00:00
340	248	251.50	true	Basic	2021-08-26 00:00:00
341	242	251.50	true	Basic	2021-08-26 00:00:00
342	254	875.00	true	Basic	2021-08-26 00:00:00
343	234	251.50	true	Basic	2021-08-26 00:00:00
344	255	251.50	true	Basic	2021-08-26 00:00:00
345	169	251.50	true	Basic	2021-08-27 00:00:00
346	168	251.50	true	Basic	2021-08-27 00:00:00
347	170	251.50	true	Basic	2021-08-27 00:00:00
348	200	431.30	true	Basic	2021-08-27 00:00:00
349	205	251.50	true	Basic	2021-08-27 00:00:00
350	171	411.00	true	Basic	2021-08-27 00:00:00
351	191	295.00	true	Basic	2021-08-27 00:00:00
352	203	295.00	true	Basic	2021-08-27 00:00:00
353	192	251.50	true	Basic	2021-08-27 00:00:00
354	187	295.00	true	Basic	2021-08-27 00:00:00
355	161	4001.20	true	Business	2021-08-28 00:00:00
356	132	341.40	true	Basic	2021-08-28 00:00:00
357	142	251.50	true	Basic	2021-08-28 00:00:00
358	147	266.00	true	Basic	2021-08-28 00:00:00
359	141	251.50	true	Basic	2021-08-28 00:00:00
360	123	234.10	true	Basic	2021-08-28 00:00:00
361	164	469.00	true	Basic	2021-08-28 00:00:00
362	120	442.90	true	Basic	2021-08-28 00:00:00
363	135	295.00	true	Basic	2021-08-28 00:00:00
364	118	538.60	true	Basic	2021-08-28 00:00:00
365	104	605.30	true	Basic	2021-08-29 00:00:00
366	72	266.00	true	Basic	2021-08-29 00:00:00
367	107	295.00	true	Basic	2021-08-29 00:00:00
368	113	251.50	true	Basic	2021-08-29 00:00:00
369	80	547.30	true	Basic	2021-08-29 00:00:00
370	73	448.70	true	Basic	2021-08-29 00:00:00
371	78	251.50	true	Basic	2021-08-29 00:00:00
372	103	382.00	true	Basic	2021-08-29 00:00:00
373	92	295.00	true	Basic	2021-08-29 00:00:00
374	109	234.10	true	Basic	2021-08-29 00:00:00
375	63	295.00	true	Basic	2021-08-29 00:00:00
376	81	295.00	true	Basic	2021-08-29 00:00:00
377	112	251.50	true	Basic	2021-08-29 00:00:00
378	105	309.50	true	Basic	2021-08-29 00:00:00
379	111	266.00	true	Basic	2021-08-29 00:00:00
380	90	735.80	true	Basic	2021-08-29 00:00:00
381	79	234.10	true	Basic	2021-08-29 00:00:00
382	54	295.00	true	Basic	2021-08-30 00:00:00
383	56	251.50	true	Basic	2021-08-30 00:00:00
384	55	251.50	true	Basic	2021-08-30 00:00:00
385	28	295.00	true	Basic	2021-08-30 00:00:00
386	53	295.00	true	Basic	2021-08-30 00:00:00
387	57	274.70	true	Basic	2021-08-30 00:00:00
388	40	295.00	true	Basic	2021-08-30 00:00:00
389	52	251.50	true	Basic	2021-08-30 00:00:00
390	31	295.00	true	Basic	2021-08-30 00:00:00
391	42	234.10	true	Basic	2021-08-30 00:00:00
392	41	532.80	true	Basic	2021-08-30 00:00:00
393	36	295.00	true	Basic	2021-08-30 00:00:00
394	43	295.00	true	Basic	2021-08-30 00:00:00
395	29	251.50	true	Basic	2021-08-30 00:00:00
396	17	251.50	true	Basic	2021-08-30 00:00:00
397	26	370.40	true	Basic	2021-08-31 00:00:00
398	27	295.00	true	Basic	2021-08-31 00:00:00
399	25	295.00	true	Basic	2021-08-31 00:00:00
400	5	347.20	true	Basic	2021-08-31 00:00:00
401	4	295.00	true	Basic	2021-08-31 00:00:00
402	24	295.00	true	Basic	2021-08-31 00:00:00
403	30	251.50	true	Basic	2021-08-31 00:00:00
404	60	251.50	true	Basic	2021-08-31 00:00:00
405	314	976.50	true	Premium	2021-09-24 00:00:00
406	328	295.00	true	Basic	2021-09-24 00:00:00
407	335	532.80	true	Basic	2021-09-24 00:00:00
408	327	295.00	true	Basic	2021-09-24 00:00:00
409	319	489.30	true	Basic	2021-09-24 00:00:00
410	334	295.00	true	Basic	2021-09-24 00:00:00
411	286	251.50	true	Basic	2021-09-25 00:00:00
412	308	1678.30	true	Premium	2021-09-25 00:00:00
413	302	251.50	true	Basic	2021-09-25 00:00:00
414	263	347.20	true	Basic	2021-09-25 00:00:00
415	248	251.50	true	Basic	2021-09-26 00:00:00
416	253	303.70	true	Basic	2021-09-26 00:00:00
417	216	379.10	true	Basic	2021-09-26 00:00:00
418	254	935.90	true	Basic	2021-09-26 00:00:00
419	234	251.50	true	Basic	2021-09-26 00:00:00
420	250	295.00	true	Basic	2021-09-26 00:00:00
421	243	387.80	true	Basic	2021-09-26 00:00:00
422	244	295.00	true	Basic	2021-09-26 00:00:00
423	252	251.50	true	Basic	2021-09-26 00:00:00
424	255	251.50	true	Basic	2021-09-26 00:00:00
425	226	251.50	true	Basic	2021-09-26 00:00:00
426	242	251.50	true	Basic	2021-09-26 00:00:00
427	192	474.80	true	Basic	2021-09-27 00:00:00
428	168	251.50	true	Basic	2021-09-27 00:00:00
429	205	251.50	true	Basic	2021-09-27 00:00:00
430	170	268.90	true	Basic	2021-09-27 00:00:00
431	184	251.50	true	Basic	2021-09-27 00:00:00
432	169	251.50	true	Basic	2021-09-27 00:00:00
433	171	411.00	true	Basic	2021-09-27 00:00:00
434	200	451.60	true	Basic	2021-09-27 00:00:00
435	203	295.00	true	Basic	2021-09-27 00:00:00
436	167	1455.00	true	Business	2021-09-27 00:00:00
437	191	295.00	true	Basic	2021-09-27 00:00:00
438	187	295.00	true	Basic	2021-09-27 00:00:00
439	147	292.10	true	Basic	2021-09-28 00:00:00
440	118	538.60	true	Basic	2021-09-28 00:00:00
441	132	266.00	true	Basic	2021-09-28 00:00:00
442	141	251.50	true	Basic	2021-09-28 00:00:00
443	123	335.60	true	Basic	2021-09-28 00:00:00
444	161	6266.10	true	Business	2021-09-28 00:00:00
445	120	492.20	true	Basic	2021-09-28 00:00:00
446	142	251.50	true	Basic	2021-09-28 00:00:00
447	122	353.00	true	Basic	2021-09-28 00:00:00
448	164	634.30	true	Basic	2021-09-28 00:00:00
449	135	295.00	true	Basic	2021-09-28 00:00:00
450	78	251.50	true	Basic	2021-09-29 00:00:00
451	92	295.00	true	Basic	2021-09-29 00:00:00
452	107	295.00	true	Basic	2021-09-29 00:00:00
453	104	564.70	true	Basic	2021-09-29 00:00:00
454	73	498.00	true	Basic	2021-09-29 00:00:00
455	64	251.50	true	Basic	2021-09-29 00:00:00
456	79	234.10	true	Basic	2021-09-29 00:00:00
457	63	295.00	true	Basic	2021-09-29 00:00:00
458	112	251.50	true	Basic	2021-09-29 00:00:00
459	109	234.10	true	Basic	2021-09-29 00:00:00
460	72	306.60	true	Basic	2021-09-29 00:00:00
461	111	266.00	true	Basic	2021-09-29 00:00:00
462	90	785.10	true	Basic	2021-09-29 00:00:00
463	80	698.10	true	Basic	2021-09-29 00:00:00
464	113	251.50	true	Basic	2021-09-29 00:00:00
465	105	335.60	true	Basic	2021-09-29 00:00:00
466	103	382.00	true	Basic	2021-09-29 00:00:00
467	81	295.00	true	Basic	2021-09-29 00:00:00
468	57	266.00	true	Basic	2021-09-30 00:00:00
469	60	573.40	true	Basic	2021-09-30 00:00:00
470	25	315.30	true	Basic	2021-09-30 00:00:00
471	30	251.50	true	Basic	2021-09-30 00:00:00
472	53	295.00	true	Basic	2021-09-30 00:00:00
473	55	251.50	true	Basic	2021-09-30 00:00:00
474	24	295.00	true	Basic	2021-09-30 00:00:00
475	26	353.00	true	Basic	2021-09-30 00:00:00
476	42	315.30	true	Basic	2021-09-30 00:00:00
477	17	318.20	true	Basic	2021-09-30 00:00:00
478	28	295.00	true	Basic	2021-09-30 00:00:00
479	31	295.00	true	Basic	2021-09-30 00:00:00
480	4	295.00	true	Basic	2021-09-30 00:00:00
481	36	295.00	true	Basic	2021-09-30 00:00:00
482	27	295.00	true	Basic	2021-09-30 00:00:00
483	29	251.50	true	Basic	2021-09-30 00:00:00
484	5	329.80	true	Basic	2021-09-30 00:00:00
485	44	251.50	true	Basic	2021-09-30 00:00:00
486	40	295.00	true	Basic	2021-09-30 00:00:00
487	56	251.50	true	Basic	2021-09-30 00:00:00
488	52	251.50	true	Basic	2021-09-30 00:00:00
489	43	295.00	true	Basic	2021-09-30 00:00:00
490	54	295.00	true	Basic	2021-09-30 00:00:00
491	41	683.60	true	Basic	2021-09-30 00:00:00
492	531	295.00	true	Basic	2021-10-20 00:00:00
493	527	295.00	true	Basic	2021-10-20 00:00:00
494	381	295.00	true	Basic	2021-10-23 00:00:00
495	314	1356.40	true	Premium	2021-10-24 00:00:00
496	334	295.00	true	Basic	2021-10-24 00:00:00
497	335	744.50	true	Basic	2021-10-24 00:00:00
498	327	295.00	true	Basic	2021-10-24 00:00:00
499	328	295.00	true	Basic	2021-10-24 00:00:00
500	319	521.20	true	Basic	2021-10-24 00:00:00
501	302	251.50	true	Basic	2021-10-25 00:00:00
502	308	1182.40	true	Premium	2021-10-25 00:00:00
503	286	251.50	true	Basic	2021-10-25 00:00:00
504	282	251.50	true	Basic	2021-10-25 00:00:00
505	263	332.70	true	Basic	2021-10-25 00:00:00
506	243	451.60	true	Basic	2021-10-26 00:00:00
507	248	251.50	true	Basic	2021-10-26 00:00:00
508	211	1455.00	true	Business	2021-10-26 00:00:00
509	217	251.50	true	Basic	2021-10-26 00:00:00
510	255	251.50	true	Basic	2021-10-26 00:00:00
511	254	1107.00	true	Basic	2021-10-26 00:00:00
512	253	364.60	true	Basic	2021-10-26 00:00:00
513	244	295.00	true	Basic	2021-10-26 00:00:00
